customer_id,gender,age,state,region,income_bracket,acquisition_channel,product_category,order_amount,num_orders,first_order_date,last_order_date,lifetime_value,loyalty_member,satisfaction_score
CUST-0001,Female,37,New York,Northeast,$50K-$75K,Web,Kitchen,180.05,1,2024-03-08,2024-03-08,146.33,Yes,3
CUST-0002,Male,67,California,West,$75K-$100K,Email,Apparel,148.82,5,2023-01-07,2024-06-12,803.07,Yes,3
CUST-0003,Male,46,Illinois,Midwest,$30K-$50K,Phone,Kitchen,131.45,5,2024-07-03,2024-05-07,781.63,No,4
CUST-0004,Male,67,Oregon,West,$30K-$50K,Web,Kitchen,157.81,6,2023-04-14,2025-01-24,862.77,No,4
CUST-0005,Male,64,Michigan,Midwest,$50K-$75K,Referral,Kitchen,127.69,1,2023-09-08,2023-09-08,110.5,No,5
CUST-0006,Female,75,Washington,West,$100K-$150K,Direct Mail,Outdoor,245.9,2,2023-03-09,2024-08-04,573.07,No,5
CUST-0007,Female,63,Virginia,Southeast,$75K-$100K,Direct Mail,Apparel,142.62,2,2024-08-21,2025-03-14,330.63,No,3
CUST-0008,Female,27,Tennessee,Southeast,$100K-$150K,Phone,Apparel,66.9,4,2024-09-02,2024-03-06,255.27,No,4
CUST-0009,Male,65,Indiana,Midwest,$100K-$150K,Web,Electronics,96.54,4,2023-04-25,2024-10-27,376.08,No,5
CUST-0010,Male,54,Indiana,Midwest,Over $150K,Phone,Home & Garden,266.41,4,2023-06-06,2025-01-17,1177.54,No,5
CUST-0011,Female,53,California,West,Under $30K,Referral,Outdoor,101.31,2,2023-03-01,2024-09-03,233.26,No,2
CUST-0012,Male,30,Texas,Southwest,$75K-$100K,Referral,Apparel,135.14,4,2023-08-05,2025-07-06,595.75,No,5
CUST-0013,Female,55,New Mexico,Southwest,$75K-$100K,Direct Mail,Apparel,22.67,3,2024-08-25,2024-08-13,54.6,No,2
CUST-0014,Female,26,New York,Northeast,$75K-$100K,Direct Mail,Electronics,137.71,5,2024-08-07,2025-08-13,681.02,No,5
CUST-0015,Male,64,Florida,Southeast,$50K-$75K,Email,Electronics,149.88,4,2024-10-23,2024-04-10,494.15,No,5
CUST-0016,Male,34,Massachusetts,Northeast,$75K-$100K,Direct Mail,Apparel,120.7,6,2023-03-19,2025-03-29,813.43,No,2
CUST-0017,Male,70,California,West,$100K-$150K,Direct Mail,Electronics,81.81,2,2023-03-02,2024-06-17,155.7,No,3
CUST-0018,Female,66,New Mexico,Southwest,Over $150K,Referral,Electronics,295.81,1,2023-10-31,2023-10-31,262.41,Yes,5
CUST-0019,Male,25,Pennsylvania,Northeast,$75K-$100K,Email,Outdoor,52.95,8,2023-03-24,2024-07-09,350.49,Yes,5
CUST-0020,Male,59,Texas,Southwest,$75K-$100K,Web,Home & Garden,147.58,3,2023-09-25,2024-07-28,472.8,Yes,3
CUST-0021,Female,42,North Carolina,Southeast,Over $150K,Referral,Apparel,259.83,3,2023-04-13,2024-03-16,791.22,No,3
CUST-0022,Male,45,Illinois,Midwest,$50K-$75K,Email,Electronics,70.97,9,2024-10-31,2025-06-25,512.98,No,3
CUST-0023,Female,29,Massachusetts,Northeast,$100K-$150K,Web,Apparel,100.69,1,2023-12-18,2023-12-18,88.75,No,3
CUST-0024,Male,27,New Mexico,Southwest,$75K-$100K,Phone,Apparel,92.05,1,2023-09-26,2023-09-26,79.59,No,5
CUST-0025,Male,26,California,West,Over $150K,Web,Apparel,43.33,2,2024-07-19,2024-05-31,84.23,Yes,4
CUST-0026,Male,65,Pennsylvania,Northeast,$50K-$75K,Direct Mail,Outdoor,178.56,2,2024-09-27,2024-06-07,417.94,Yes,3
CUST-0027,Male,33,Virginia,Southeast,$100K-$150K,Email,Books & Media,245.12,6,2023-09-12,2024-09-30,1270.23,No,4
CUST-0028,Male,34,Connecticut,Northeast,$100K-$150K,Email,Home & Garden,243.21,1,2023-01-25,2023-01-25,258.78,No,3
CUST-0029,Female,63,Pennsylvania,Northeast,$75K-$100K,Web,Outdoor,91.52,1,2023-09-25,2023-09-25,79.75,No,3
CUST-0030,Female,44,New Jersey,Northeast,$100K-$150K,Email,Kitchen,164.42,2,2024-08-13,2024-07-13,296.58,No,1
CUST-0031,Female,49,Washington,West,$30K-$50K,Web,Home & Garden,58.46,6,2023-11-04,2025-06-03,324.0,No,4
CUST-0032,Male,34,Indiana,Midwest,$50K-$75K,Referral,Kitchen,182.02,4,2023-11-05,2025-02-19,742.04,Yes,3
CUST-0033,Female,51,Colorado,Southwest,$50K-$75K,Web,Electronics,161.84,8,2023-06-23,2025-11-05,1079.69,No,4
CUST-0034,Male,65,Illinois,Midwest,$50K-$75K,Phone,Apparel,23.55,9,2024-09-17,2024-03-15,208.17,No,4
CUST-0035,Female,37,Oklahoma,Southwest,$30K-$50K,Web,Outdoor,139.35,6,2024-03-11,2024-08-12,727.7,No,4
CUST-0036,Male,29,New Jersey,Northeast,$75K-$100K,Phone,Kitchen,237.31,3,2024-03-29,2025-09-19,801.64,No,4
CUST-0037,Male,69,Nevada,West,$100K-$150K,Email,Kitchen,255.56,2,2024-06-17,2025-05-11,537.03,Yes,2
CUST-0038,Female,43,Ohio,Midwest,$50K-$75K,Email,Apparel,57.78,4,2024-12-24,2024-08-07,190.83,No,4
CUST-0039,Male,75,Texas,Southwest,$50K-$75K,Referral,Electronics,143.67,6,2024-08-12,2025-01-24,854.08,No,3
CUST-0040,Male,53,Oklahoma,Southwest,$50K-$75K,Email,Apparel,77.18,4,2024-02-19,2024-06-18,350.77,No,5
CUST-0041,Female,59,California,West,$75K-$100K,Direct Mail,Kitchen,48.13,3,2023-02-21,2024-09-23,137.41,Yes,4
CUST-0042,Female,38,New Mexico,Southwest,$100K-$150K,Email,Kitchen,36.95,8,2023-08-18,2025-10-27,244.59,No,2
CUST-0043,Male,75,Massachusetts,Northeast,Under $30K,Direct Mail,Apparel,83.31,3,2023-08-12,2025-04-21,269.87,No,3
CUST-0044,Male,41,California,West,$30K-$50K,Direct Mail,Home & Garden,112.25,8,2024-02-11,2024-07-22,745.7,No,4
CUST-0045,Male,72,Pennsylvania,Northeast,Over $150K,Phone,Home & Garden,188.5,2,2024-06-02,2025-10-25,353.06,No,5
CUST-0046,Female,62,Connecticut,Northeast,$100K-$150K,Email,Apparel,71.38,3,2024-10-28,2024-10-03,224.07,No,5
CUST-0047,Female,42,Oklahoma,Southwest,$100K-$150K,Phone,Apparel,267.15,1,2024-04-20,2024-04-20,274.61,No,4
CUST-0048,Male,53,New Mexico,Southwest,$50K-$75K,Phone,Home & Garden,177.86,4,2023-10-10,2025-07-23,572.04,No,2
CUST-0049,Male,66,Oklahoma,Southwest,$75K-$100K,Web,Home & Garden,21.83,2,2024-02-19,2025-12-09,39.18,No,4
CUST-0050,Female,49,Utah,West,Over $150K,Web,Home & Garden,197.89,2,2023-08-25,2024-05-03,430.81,Yes,5
CUST-0051,Male,69,Georgia,Southeast,$75K-$100K,Web,Books & Media,134.47,2,2023-04-13,2024-07-17,247.02,No,4
CUST-0052,Female,24,Washington,West,Over $150K,Web,Kitchen,76.72,6,2024-05-17,2024-04-15,528.95,No,4
CUST-0053,Male,25,New Mexico,Southwest,$50K-$75K,Phone,Apparel,27.09,3,2024-08-13,2025-10-06,87.33,Yes,5
CUST-0054,Male,29,Illinois,Midwest,$75K-$100K,Email,Electronics,155.29,5,2024-01-25,2025-04-06,903.32,Yes,4
CUST-0055,Male,61,New Mexico,Southwest,Over $150K,Direct Mail,Kitchen,261.44,2,2023-03-25,2024-06-09,468.47,No,3
CUST-0056,Female,40,Oklahoma,Southwest,Under $30K,Direct Mail,Home & Garden,104.42,1,2023-08-28,2023-08-28,122.13,No,4
CUST-0057,Male,56,Virginia,Southeast,$50K-$75K,Direct Mail,Home & Garden,41.31,1,2023-11-11,2023-11-11,42.88,No,5
CUST-0058,Female,66,Texas,Southwest,$50K-$75K,Email,Home & Garden,114.9,2,2024-09-04,2024-02-10,265.6,No,4
